// 翻译注意事项：
// 1、文本格式为UTF-8。
// 2、仅翻译等号右侧、引号内的中文文本即可，引号内的英文无需翻译。
// 3、双斜杠“//”后的中文无需翻译，为备注提示信息。
// 4、中文里的{0}{1}为动态替换文本，很特别的话我会给出范例。
// 5、[feee75]xxxx[-]这类的文本，中括号内的为颜色代码，无需翻译。

// *******************************************
// *******************************************
// ****************客户端本地化资源***********
// *******************************************
// *******************************************


// CombatSetWnd
CombatSetWnd_1 =增益状态
ShowPetsWnd_5 =使魔图鉴
ShowPetsWnd_6 =包裹格子已升级

// PetToolTipWnd
PetToolTipWnd_1 =套装属性
PetToolTipWnd_2 =属 性
PetToolTipWnd_3 =装 备
PetToolTipWnd_4 =技 能
PetToolTipWnd_5 =觉 醒
PetToolTipWnd_6 =共享使魔
PetToolTipWnd_7 =没有使魔信息
PetToolTipWnd_8 ={0}级 {1}

// AttributeWnd
AttributeWnd_1 =经验值
AttributeWnd_2 =等级
AttributeWnd_3 =生命
AttributeWnd_4 =攻击
AttributeWnd_5 =防御
AttributeWnd_6 =敏捷
AttributeWnd_8 =暴击率
AttributeWnd_9 =暴击伤害
AttributeWnd_10 =效果命中
AttributeWnd_11 =效果抵抗
AttributeWnd_12 =锁定使魔
AttributeWnd_13 =头像/共享
AttributeWnd_14 =玩家评价
AttributeWnd_15 =是否将「{0}」设为头像，并共享给好友使用。
AttributeWnd_16 =是否将使魔「{0}」锁定
AttributeWnd_17 =是否解除使魔「{0}」的锁定
AttributeWnd_18 =分享
AttributeWnd_19 =该使魔不能分享

// AwakeWnd
AwakeWnd_1 =[00d8ff][u]点击此处[/u][-][927761]前往圣域获取觉醒材料[-]
AwakeWnd_2 =已觉醒
AwakeWnd_3 =该使魔无法觉醒
AwakeWnd_4 =是否立即觉醒使魔使其变为更加强大？
AwakeWnd_5 =材料不足
AwakeWnd_6 =觉醒卷
AwakeWnd_7 =您尚未拥有觉醒卷。
AwakeWnd_8 =勾选后，觉醒使魔将优先使用觉醒卷觉醒。<br>（使用使魔觉醒卷觉醒使魔不消耗觉醒材料）
AwakeWnd_9 =当前剩余使魔觉醒卷：{0}<br>是否使用使魔觉醒卷对{1}进行觉醒？

//MainWnd
MainWnd_1 =游戏公告
MainWnd_2 =限时特卖
MainWnd_3 =首充双倍
MainWnd_4 =冒险
MainWnd_5 =好友
MainWnd_6 =任务
MainWnd_7 =使魔
MainWnd_8 =市集购买
MainWnd_9 =邮件
MainWnd_10 =觉醒吧
MainWnd_11 =开始旅程
MainWnd_12 =立即前往
MainWnd_13 ={0}级
MainWnd_14 =满级
MainWnd_15 =○
MainWnd_16 =●
MainWnd_17 =北境圣域
MainWnd_18 =返回城镇
MainWnd_19 =商店
MainWnd_20 =通天之塔

//SystemWnd
SystemWnd_1 =账号
SystemWnd_2 =系统
SystemWnd_3 =帮助
SystemWnd_4 =账号设置
SystemWnd_5 =系统设置
SystemWnd_6 =帮助信息
SystemWnd_7 =游戏音效
SystemWnd_8 =背景音乐
SystemWnd_9 =屏幕旋转
SystemWnd_10 =首领出场动画
SystemWnd_11 =低配模式
SystemWnd_12 =省电模式
SystemWnd_13 =账号：
SystemWnd_14 =名称：
SystemWnd_15 =更换头像
SystemWnd_16 =讨论专区
SystemWnd_17 =游戏初始化
SystemWnd_18 =退出登录
SystemWnd_19 =初始化后，该账号的所有数据将会消失，并且无法恢复此操作24小时内只能进行一次。
SystemWnd_21 =[D6CCBB]请输入[-] [FB4848]{0}[-] [D6CCBB]进行初始化[-]
SystemWnd_24 =点击输入文字
SystemWnd_25 =初始化
SystemWnd_26 =取消
SystemWnd_27 =警告，请慎重进行初始化操作
SystemWnd_29 =可通过修改「共享使魔」更换头像。
SystemWnd_30 =兑换码
SystemWnd_31 =还需{0}时
SystemWnd_32 =验证码输入错误。
SystemWnd_33 =[u]点击此处绑定账号[/u]
SystemWnd_34 =已绑定
SystemWnd_35 =[u]未绑定+[/u]
SystemWnd_36 =等级{0}
SystemWnd_37 =联系客服
SystemWnd_38 =[u]复制[/u]
SystemWnd_39 =玩家ID：{0}
SystemWnd_40 =复制名称成功
SystemWnd_41 =复制玩家ID成功
SystemWnd_42 =复制成功
SystemWnd_43 =游戏历程

// ReportWnd
ReportWnd_1 = 举报对象
ReportWnd_2 = 举报后将会临时屏蔽该玩家聊天内容
ReportWnd_3 = 举报内容
ReportWnd_4 = ------以上为您所举报玩家的发言信息-------
ReportWnd_5 = 算了
ReportWnd_6 = 是否暂时屏蔽此玩家？\n(重新登录，自动解除)
ReportWnd_7 = {0}级

// EquipWnd
EquipWnd_1 =筛选： 所有装备
EquipWnd_2 =批量出售
EquipWnd_3 =多选出售
EquipWnd_4 =筛选
EquipWnd_5 =筛选:
EquipWnd_6 =出售所选
EquipWnd_7 =取消
EquipWnd_8 =没有选择要出售的装备
EquipWnd_9 =是否要出售已选择的装备

// CommonConst
MonsterType_none =无类型
MonsterType_atk =攻击型
MonsterType_def =防御型
MonsterType_hp =生命型
MonsterType_sup =辅助型
MonsterType_spd =速度型

RaceNone =无类型
RaceHuman =人类
RaceMaterial =物质
RaceNature =自然
RaceUndead =亡灵
RaceMonster =魔兽
RaceGod =神灵

SkillTypeNormal =普攻
SkillTypeAttack =攻击
SkillTypeCure =治疗
SkillTypeAssist =辅助
SkillTypePassive =被动
SkillTypeLeader =领袖

SkillFamilyNone =无类别技能
SkillFamilyNormal =普通攻击
SkillFamilyActive =主动技能
SkillFamilyPassive =被动技能
SkillFamilyLeader =领袖技能
SkillFamilyAssist =辅助技能

// SkillViewWnd
SkillViewWnd_1 =冷却时间：{0}回合
SkillViewWnd_2 =级

// 特殊状态提示
sp_status_1 =免疫控制
sp_status_2 =隐忍+{0}
sp_status_3 =免疫攻击降低
sp_status_4 =麻痹
sp_status_5 =免疫防御降低

// SummonWnd
SummonWnd_1 =立即召唤
SummonWnd_2 =召唤法阵
SummonWnd_3 =当前拥有:
SummonWnd_4 ={0}召唤
SummonWnd_5 ={0}星
SummonWnd_6 ={0}~{1}星
SummonWnd_7 =种族
SummonWnd_8 =类型
SummonWnd_9 =最大等级
SummonWnd_10 =体力
SummonWnd_11 =攻击力
SummonWnd_12 =防御力
SummonWnd_13 =攻击速度
SummonWnd_14 =觉醒后变化
SummonWnd_15 =玩家评价
SummonWnd_16 =合成信息
SummonWnd_17 =确认
SummonWnd_18 ={0}不足
SummonWnd_19 ={0}不足前往商店?
SummonWnd_20 =使魔格子数量不足
SummonWnd_21 =当前拥有:{0}张
SummonWnd_23 =连续召唤{0}次
SummonWnd_24 =召唤结果
SummonWnd_25 ={0}:{1}/{2}
SummonWnd_26 =友情点:{0}/{1}
SummonWnd_27 =钻石:{0}/{1}
SummonWnd_28 =[000000FF]当前拥有:{0}/{1}个[-]
SummonWnd_29 =[u]召唤几率?[/u]
SummonWnd_30 =「{0}」召唤次数不限
SummonWnd_31 =「{0}」每日仅限召唤 {1}/{2} 次
SummonWnd_32 =您今日「{0}」召唤次数已不足再召唤 {1} 次
SummonWnd_33 =您今日「{0}」召唤次数已不足，请明日再来。
SummonWnd_34 =完美召唤
SummonWnd_35 =[000000FF]当前拥有:{0}[-][00B410FF]+{1}[-][000000FF]/{2}个[-]
SummonWnd_36 = 将使用{0}个万能召唤碎片代替{1}\n召唤碎片进行召唤。

//FightSettlementWnd
FightSettlementWnd_1 =◆ 奖励
FightSettlementWnd_2 =点击开启宝箱
FightSettlementWnd_3 =装备
FightSettlementWnd_4 =冒险
FightSettlementWnd_5 =再来一次
FightSettlementWnd_6 =下一关卡
FightSettlementWnd_7 =复活
FightSettlementWnd_8 =是否需要复活？
FightSettlementWnd_9 =取消
FightSettlementWnd_10 =花费
FightSettlementWnd_11 =即可复活全队成员。
FightSettlementWnd_12 =返回地图
FightSettlementWnd_13 ={0}数量不足
FightSettlementWnd_14 ={0} 秒后自动开启
FightSettlementWnd_15 =出售
FightSettlementWnd_17 =循环战斗中 {0} 秒后返回队员选择界面
FightSettlementWnd_18 =最佳时间：
FightSettlementWnd_19 =本次时间：
FightSettlementWnd_20 =新记录!
FightSettlementWnd_21 =-:-
FightSettlementWnd_22 =本次战斗还剩 {0} 个战场回合来击败目标！
FightSettlementWnd_23 =未在 {0} 回合内击败目标
FightSettlementWnd_24 =战斗胜利
FightSettlementWnd_25 =战斗失败
FightSettlementWnd_26 =需要 {0} 级以上使魔
FightSettlementWnd_27 =已获得
FightSettlementWnd_28 =自动爬塔中 {0} 秒后前往下一层队员选择界面

//SelectInstanceWnd
SelectInstanceWnd_1 =战斗
SelectInstanceWnd_2 =普通
SelectInstanceWnd_3 =困难
SelectInstanceWnd_4 =极难
SelectInstanceWnd_5 =件套
SelectInstanceWnd_6 =★
SelectInstanceWnd_7 =需拥有 {0} 级以上战斗使魔才可解锁
SelectInstanceWnd_8 ={0}「{1}」{2} 级
SelectInstanceWnd_9 =您当前最高等级战斗使魔

//RewardPetInfoWnd
RewardPetInfoWnd_1 =玩家评价
RewardPetInfoWnd_2 =合成信息
RewardPetInfoWnd_3 =种族
RewardPetInfoWnd_4 =类型
RewardPetInfoWnd_5 =最大等级
RewardPetInfoWnd_6 =生命
RewardPetInfoWnd_7 =攻击
RewardPetInfoWnd_8 =防御
RewardPetInfoWnd_9 =敏捷
RewardPetInfoWnd_10 =觉醒后变化
RewardPetInfoWnd_11 =觉醒
RewardPetInfoWnd_12 =确  认
RewardPetInfoWnd_13 =购 买
RewardPetInfoWnd_14 =出售
RewardPetInfoWnd_15 =取  消
RewardPetInfoWnd_16 =分享

//PetStrengthenWnd
PetStrengthenWnd_1 ={0}等级{1} {2}
PetStrengthenWnd_2 =◆ 使魔研究所
PetStrengthenWnd_3 =等级提升
PetStrengthenWnd_4 =星级提升
PetStrengthenWnd_5 =使魔强化
PetStrengthenWnd_6 =研究奖励
PetStrengthenWnd_7 =经验值
PetStrengthenWnd_8 =等级
PetStrengthenWnd_9 =攻击力
PetStrengthenWnd_10 =防御力
PetStrengthenWnd_11 =请在右侧选择需要强化的使魔
PetStrengthenWnd_12 =请先选择需要强化的使魔
PetStrengthenWnd_13 =请先选择材料使魔
PetStrengthenWnd_14 =升星需要到达最大等级
PetStrengthenWnd_15 =技能提升
PetStrengthenWnd_16 =材料将消失，确定要强化吗?
PetStrengthenWnd_17 ={0}不足。
PetStrengthenWnd_18 ={0}不足立即充值？
PetStrengthenWnd_19 ={0}倍经验加成！！
PetStrengthenWnd_20 =星级
PetStrengthenWnd_21 ={0}满级{1}{2}
PetStrengthenWnd_22 =需放入{0}使魔才可提升至{1}星
PetStrengthenWnd_23 ={0}只{1}星
PetStrengthenWnd_24 =所有技能都已满级，将不能升级技能，<br>是否继续强化?
PetStrengthenWnd_25 =需放入{0}或邪恶宝宝才可提升技能等级
PetStrengthenWnd_26 =所放入使魔在提升技能时，星级也将提升至{0}星。
PetStrengthenWnd_27 =是否将「{0}」提升至{1}星？
PetStrengthenWnd_28 =可提升技能!
PetStrengthenWnd_29 =[u]提升技能?[/u]
PetStrengthenWnd_30 =已到达最大星级，不能升星。
PetStrengthenWnd_31 =当前使魔为共享使魔，不能操作。
PetStrengthenWnd_32 =当前使魔已锁定，不能操作。
PetStrengthenWnd_33 =当前使魔已设定为防守阵容，不能操作。
PetStrengthenWnd_34 =该使魔穿有装备！
PetStrengthenWnd_35 =是否继续作为使魔强化材料？
PetStrengthenWnd_36 =升星成功
PetStrengthenWnd_37 =您需要达到{0}级才可以使用该功能。
PetStrengthenWnd_38 =要拥有「{0}」{1}个以上才可以使用该功能。
PetStrengthenWnd_39 =您需要选择一个未满级的使魔才可以使用该功能。
PetStrengthenWnd_40 =该使魔已满级，无法使用该功能。
PetStrengthenWnd_41 =该使魔不存在
PetStrengthenWnd_42 =使用{0}个未知召唤卷提升经验
PetStrengthenWnd_43 =请先放入卷轴材料
PetStrengthenWnd_44 =召唤卷升级
PetStrengthenWnd_45 =需要消耗 {0} 张「{1}」进行升级
PetStrengthenWnd_46 =分 享

//RewardItemInfoWnd
RewardEquipInfoWnd_1 =件套
RewardEquipInfoWnd_2 =出售
RewardEquipInfoWnd_3 =获得道具
RewardEquipInfoWnd_4 =套装
RewardEquipInfoWnd_5 =购买
RewardEquipInfoWnd_6 =取消
RewardEquipInfoWnd_7 =确定

//ExpBar
ExpBar_1 =+
ExpBar_2 =等级
ExpBar_3 =最大等级
ExpBar_4 =升级啦！！！
ExpBar_5 =双倍！

// 装备稀有度别名
EquipRarityAlias_0 =普通
EquipRarityAlias_1 =魔法
EquipRarityAlias_2 =稀有
EquipRarityAlias_3 =英雄
EquipRarityAlias_4 =传说

//EquipViewWnd
EquipViewWnd_1 =件套
EquipViewWnd_2 =强化
EquipViewWnd_3 =装备
EquipViewWnd_4 =出售
EquipViewWnd_5 =脱下
EquipViewWnd_6 =是否替换使魔身上对应部位装备？
EquipViewWnd_7 =替换
EquipViewWnd_8 =<split>sprite={0},{1},{2}</split>
EquipViewWnd_9 =是否花费 {0}{1} 脱下该装备
EquipViewWnd_10 =玩家{0}不足，是否快捷购买
EquipViewWnd_11 =分享
EquipViewWnd_12 =「使魔装备免费更换」活动中，花费{0}{1}脱下装备
EquipViewWnd_13 =装备使用出错，请尝试重新登录

//EquipStrengthenWnd
EquipStrengthenWnd_1 =强化
EquipStrengthenWnd_2 =增幅
EquipStrengthenWnd_3 =重置
EquipStrengthenWnd_4 =强化成功后
EquipStrengthenWnd_5 =强化 6 次
EquipStrengthenWnd_6 =强化成功
EquipStrengthenWnd_7 =强化失败
EquipStrengthenWnd_8 =装备最高只能强化至+15
EquipStrengthenWnd_9 =停止强化
EquipStrengthenWnd_10 =+{0}成功时出现追加属性
EquipStrengthenWnd_11 =[ffdd8a]强化+{0}成功：[-] {1}
EquipStrengthenWnd_12 =金币不足强化失败
EquipStrengthenWnd_13 =+{0}成功时强化追加属性
EquipStrengthenWnd_14 =[ff5151]+15成功时大幅增加主属性[-]
EquipStrengthenWnd_15 =新属性  {0}
EquipStrengthenWnd_16 =已强化  {0}  次
EquipStrengthenWnd_17 =[u]强化规则说明[/u]
EquipStrengthenWnd_18 =强化 +{0} 以上装备时每日限 {1}/{2} 次
EquipStrengthenWnd_19 =今日已达到该功能使用次数上限
EquipStrengthenWnd_20 =已达到最大次数限制
EquipStrengthenWnd_21 =分享
EquipStrengthenWnd_22 =装备强化至+{0}以上才可以分享。

// ArenaWnd
ArenaWnd_1 =防御部署
ArenaWnd_2 =防御记录
ArenaWnd_3 =练习对战
ArenaWnd_4 =宝物战场
ArenaWnd_5 =排位战
ArenaWnd_6 =功勋商店
ArenaWnd_8 =世界排名
ArenaWnd_9 =[u]历史排名?[/u]
ArenaWnd_10 =竞技场结算中，进入失败
ArenaWnd_11 =当前战斗录像已超时，无法继续查看。
ArenaWnd_12 =战斗回放失败，请重试。
ArenaWnd_13 =当前状态下不能播放录像，请退出战斗或者录像。
ArenaWnd_14 =精彩回放
ArenaWnd_15 =当前战斗录像已超时，无法继续分享。
ArenaWnd_16 =无效战斗录像，无法查看。
ArenaWnd_17 =查看战斗录像失败，请重试。

// HistoryRankingWnd
HistoryRankingWnd_1 =◆ 当前排名
HistoryRankingWnd_2 =◆ 上周排名
HistoryRankingWnd_3 =◆ 最高记录
HistoryRankingWnd_4 =历史排名
HistoryRankingWnd_5 =胜率
HistoryRankingWnd_6 =防守率

// DefenceDeployWnd
DefenceDeployWnd_1 =队长技能:
DefenceDeployWnd_2 =[u]防御和排位战说明?[/u]
DefenceDeployWnd_3 =防御塔
DefenceDeployWnd_4 =(“防御商店”中可提升防御塔的能力)
DefenceDeployWnd_5 =防御阵容变更，请点击“确认部署”
DefenceDeployWnd_6 =确认部署
DefenceDeployWnd_7 =攻击:
DefenceDeployWnd_8 =速度:
DefenceDeployWnd_9 =增益:
DefenceDeployWnd_10 =无增益
DefenceDeployWnd_11 =队伍配置未满员。\n是否完成防御部署？
DefenceDeployWnd_12 =竞技场至少设置一名防守使魔。
DefenceDeployWnd_13 =玩家需要完成指引，才能开启竞技场。

// DefenceRecordWnd
DefenceRecordWnd_1 =反击胜利：
DefenceRecordWnd_2 =反击失败
DefenceRecordWnd_3 =反击成功
DefenceRecordWnd_4 =胜点 {0}
DefenceRecordWnd_5 =防守成功{0}{1}{2}
DefenceRecordWnd_6 =防守失败{0}{1}{2}
DefenceRecordWnd_7 =反击
DefenceRecordWnd_8 ={0}不足

// MessageBoxWndAddDesc
MessageBoxWndAddDesc_1 =购买
MessageBoxWndAddDesc_2 =取消
MessageBoxWndAddDesc_3 =数量：{0}
MessageBoxWndAddDesc_4 =是否确认购买{0}

// MessageBoxWnd
MessageBoxWnd_1 =系统消息
MessageBoxWnd_2 =确定
MessageBoxWnd_3 =取消

// PetPropMessageWnd
PetPropMessageWnd_1 =最大等级:
PetPropMessageWnd_2 =类型:
PetPropMessageWnd_3 =体力:
PetPropMessageWnd_4 =攻击力:
PetPropMessageWnd_5 =防御力:
PetPropMessageWnd_6 =攻击速度:
PetPropMessageWnd_7 =出售
PetPropMessageWnd_8 =将出售该使魔的所有召唤书碎片。\n确定要继续吗？

// RankingBattleWnd
RankingBattleWnd_1 =刷新列表
RankingBattleWnd_2 =对战列表
RankingBattleWnd_3 =世界排名
RankingBattleWnd_4 =排行奖励
RankingBattleWnd_5 =×
RankingBattleWnd_6 =-当前阶位-
RankingBattleWnd_7 =战斗胜利:
RankingBattleWnd_8 =战斗
RankingBattleWnd_9 =胜利
RankingBattleWnd_10 =失败
RankingBattleWnd_11 =+
RankingBattleWnd_12 ={0}级
RankingBattleWnd_13 =刷新失败，玩家消耗不足
RankingBattleWnd_14 =竞技场入场券不足
RankingBattleWnd_15 =全服排名:
RankingBattleWnd_16 =[fff1c5]连胜 {0} 场：[-] [ADFFA7]{1}[-]
RankingBattleWnd_17 =持续时间： {0}
RankingBattleWnd_18 =连胜 {0} 场时：{1}
RankingBattleWnd_19 =世界排名将在每周日 23:00 ～ 24:00 进行结算，届时将无法进行排位战。
RankingBattleWnd_20 =排名奖励将在统计结束后通过邮件进行发放。
RankingBattleWnd_21 =- - - -
RankingBattleWnd_22 =增益效果达到最大上限
RankingBattleWnd_23 =列表自动刷新
RankingBattleWnd_24 =当前排位战对战列表过期，需要刷新列表。<br>提示：每次排位对战列表有效时间为 6 小时。

// ArenaRefershListWnd
ArenaRefershListWnd_1 =刷新列表
ArenaRefershListWnd_2 =「普通刷新」将会清除连胜增益效果。
ArenaRefershListWnd_3 =普通刷新
ArenaRefershListWnd_4 =「维持增益刷新」不会清除竞技场连胜增益效果
ArenaRefershListWnd_5 =维持增益刷新
ArenaRefershListWnd_6 =（当前:  连胜 {0} 场  {1}）
ArenaRefershListWnd_7 =「维持增益刷新」每日仅限使用 {0}/{1} 次
ArenaRefershListWnd_8 = 今日已达到该功能使用次数上限


//ArenaNPCItemWnd
ArenaNPCItemWnd_1 =重新准备中...
ArenaNPCItemWnd_2 =可以挑战
ArenaNPCItemWnd_3 =未解锁
ArenaNPCItemWnd_4 =战斗胜利:
ArenaNPCItemWnd_5 =战斗

// SkillLevelUpWnd
SkillLevelUpWnd_1 =冷却时间{0}回合
SkillLevelUpWnd_2 =技能升级成功

// TimeMgr
TimeMgr_1 =天
TimeMgr_2 =小时
TimeMgr_3 =分
TimeMgr_4 =秒
TimeMgr_5 =前
TimeMgr_6 =后
TimeMgr_7 =分钟
TimeMgr_8 =时

// ArenaFightSettlementWnd
ArenaFightSettlementWnd_1 =等级.{0}
ArenaFightSettlementWnd_2 =胜点
ArenaFightSettlementWnd_3 =功勋
ArenaFightSettlementWnd_5 =返回竞技场
ArenaFightSettlementWnd_6 =重新挑战
ArenaFightSettlementWnd_7 =◆ 奖励
ArenaFightSettlementWnd_8 =分享录像
ArenaFightSettlementWnd_9 =您已成功分享了本次战斗记录！
ArenaFightSettlementWnd_10 =我分享了一条战斗记录：<split>labelclick=[u]「{0}」对战「{1}」[/u]</split>

// EquipBatchSellWnd
EquipBatchSellWnd_1 =批量出售
EquipBatchSellWnd_2 =全选
EquipBatchSellWnd_3 =套装选择
EquipBatchSellWnd_4 =星级
EquipBatchSellWnd_5 =部位
EquipBatchSellWnd_6 =品质
EquipBatchSellWnd_7 =饰品主属性
EquipBatchSellWnd_8 =批量出售{0}件装备
EquipBatchSellWnd_9 =未选择饰品
EquipBatchSellWnd_10 =是否出售 {0} 件装备？
EquipBatchSellWnd_11 =出售成功
EquipBatchSellWnd_12 =您获得了 {0} {1}
EquipBatchSellWnd_13 =[ffae00]强化[-][FDE3C8]过的装备不会被出售[-]

EquipBatchSellWnd_Prop_1 =攻击+
EquipBatchSellWnd_Prop_2 =防御+
EquipBatchSellWnd_Prop_3 =生命+
EquipBatchSellWnd_Prop_11 =效果抵抗+% (项链)
EquipBatchSellWnd_Prop_10 =效果命中+% (项链)
EquipBatchSellWnd_Prop_5 =攻击+%
EquipBatchSellWnd_Prop_6 =防御+%
EquipBatchSellWnd_Prop_7 =生命+%
