"# resource",
"# 技能资源配置表",
"# 编号","资源列表"
"string","auto"
"374","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101f.prefab"",""Assets/Prefabs/Effect/E1021f1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"375","({""Assets/Art/Sounds/s_bow_shoot.wav"",""Assets/Prefabs/Effect/E1021f2a.prefab"",})"
"376","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1021f1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"377","({""Assets/Art/Sounds/s_bow_shoot.wav"",""Assets/Prefabs/Effect/E0101f.prefab"",""Assets/Prefabs/Effect/E1021f3a.prefab"",})"
"400","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1021f1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"367","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101l.prefab"",""Assets/Prefabs/Effect/E1021l1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"368","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_buff.wav"",""Assets/Prefabs/Effect/E1021l2.prefab"",""Assets/Prefabs/Effect/E0100.prefab"",})"
"369","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_buff.wav"",""Assets/Prefabs/Effect/E1021l3a.prefab"",})"
"378","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101s.prefab"",""Assets/Prefabs/Effect/E1021s1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"383","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_buff.wav"",""Assets/Prefabs/Effect/E1021s2.prefab"",""Assets/Prefabs/Effect/E0100.prefab"",})"
"381","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_buff.wav"",""Assets/Prefabs/Effect/E0101s.prefab"",""Assets/Prefabs/Effect/E1021s3a.prefab"",})"
"382","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0101w.prefab"",""Assets/Prefabs/Effect/E1021w1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"379","({""Assets/Art/Sounds/s_bow_shoot.wav"",""Assets/Prefabs/Effect/E1021w2a.prefab"",})"
"380","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1021w1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/lineFly.prefab"",})"
"384","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_buff.wav"",""Assets/Prefabs/Effect/E1021w3a.prefab"",""Assets/Prefabs/Effect/E0100.prefab"",})"
"343","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1031d1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"344","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1031f1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"342","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1031l1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"345","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1031s1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"346","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1031w1.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"687","({""Assets/Prefabs/Effect/E1041d1.prefab"",""Assets/Prefabs/Effect/E0132d.prefab"",""Assets/Prefabs/Curve/powerSlay.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"692","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",})"
"688","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1041d2a.prefab"",""Assets/Prefabs/Effect/E0132d.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/C1041_2.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"693","({""Assets/Prefabs/Effect/E1041f1.prefab"",""Assets/Prefabs/Effect/E0132f.prefab"",""Assets/Prefabs/Curve/powerSlay.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"694","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",})"
"695","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1041f2a.prefab"",""Assets/Prefabs/Effect/E0132f.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/C1041_2.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"682","({""Assets/Prefabs/Effect/E1041l1.prefab"",""Assets/Prefabs/Effect/E0132l.prefab"",""Assets/Prefabs/Curve/powerSlay.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"683","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",})"
"684","({""Assets/Prefabs/Effect/E0101l.prefab"",""Assets/Prefabs/Effect/E1041l2c.prefab"",})"
"711","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1041l2b.prefab"",""Assets/Prefabs/Effect/E1041l2a.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/C1041_1.prefab"",})"
"699","({""Assets/Prefabs/Effect/E1041s1.prefab"",""Assets/Prefabs/Effect/E0132s.prefab"",""Assets/Prefabs/Curve/powerSlay.prefab"",""Assets/Prefabs/Curve/smallJump.prefab"",})"
"700","({""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",})"
"701","({""Assets/Prefabs/Effect/E0101s.prefab"",""Assets/Prefabs/Effect/E1041s2c.prefab"",})"
"712","({""Assets/Art/Sounds/s_magic_ready.wav"",""Assets/Art/Sounds/s_magic_shoot.wav"",""Assets/Art/Sounds/s_crt_dmg.wav"",""Assets/Art/Sounds/s_light_dmg.wav"",""Assets/Art/Sounds/s_shield_dmg.wav"",""Assets/Art/Sounds/s_magic_dmg.wav"",""Assets/Art/Sounds/s_normal_dmg.wav"",""Assets/Prefabs/Effect/E1041s2b.prefab"",""Assets/Prefabs/Effect/E1041s2a.prefab"",""Assets/Prefabs/Effect/E0112.prefab"",""Assets/Prefabs/Effect/E0102l.prefab"",""Assets/Prefabs/Effect/E0102d.prefab"",""Assets/Prefabs/Effect/E0102f.prefab"",""Assets/Prefabs/Effect/E0102s.prefab"",""Assets/Prefabs/Effect/E0102w.prefab"",""Assets/Prefabs/Curve/C1041_1.prefab"",})"
