"# instance_formation.csv",,,,,,
"# 副本配置表",,,,,,
"# 副本ID","物件编号","物件编号脚本","物件编号脚本参数","始化计算脚本","始化脚本参数","备注"
"auto","auto","auto","auto","auto","auto","auto"
"# 兰达平原·4·困难",,,,,,
"landa4n","""4012""",30004,4012,30005,"([""rank"":0,""star"":2,""level"":17,""is_boss"":@FALSE])","流浪战士·风"
"landa4n","""4012""",30004,4012,30005,"([""rank"":0,""star"":2,""level"":17,""is_boss"":@FALSE])","流浪战士·风"
"landa4n","""4013""",30004,4013,30005,"([""rank"":0,""star"":4,""level"":17,""is_boss"":@FALSE])","流浪战士·水"
"# 兰达平原·5·困难",,,,,,
"landa5n","""4012""",30004,4012,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","流浪战士·风"
"landa5n","""4012""",30004,4012,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","流浪战士·风"
"landa5n","""3072""",30004,3072,30005,"([""rank"":0,""star"":4,""level"":18,""is_boss"":@FALSE])","人马战士·风"
"# 兰达平原·6·困难",,,,,,
"landa6n","""3072""",30004,3072,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","人马战士·风"
"landa6n","""3071""",30004,3071,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","人马战士·火"
"landa6n","""3071""",30004,3071,30005,"([""rank"":0,""star"":4,""level"":18,""is_boss"":@FALSE])","人马战士·火"
"# 兰达平原·7·困难",,,,,,
"landa7n","""3011""",30004,3011,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","异兔·火"
"landa7n","""3011""",30004,3011,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","异兔·火"
"landa7n","""3073""",30004,3073,30005,"([""rank"":0,""star"":2,""level"":18,""is_boss"":@FALSE])","人马战士·水"
"landa7n","""3052""",30004,3052,30005,"([""rank"":2,""star"":4,""level"":18,""is_boss"":@TRUE])","暴力战熊·风"
"# 兰达平原·1·地狱",,,,,,
"landa1h","""3011""",30004,3011,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","异兔·火"
"landa1h","""3011""",30004,3011,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","异兔·火"
"landa1h","""3051""",30004,3051,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","暴力战熊·火"
"# 兰达平原·2·地狱",,,,,,
"landa2h","""3012""",30004,3012,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","异兔·风"
"landa2h","""3012""",30004,3012,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","异兔·风"
"landa2h","""3052""",30004,3052,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","暴力战熊·风"
"# 兰达平原·3·地狱",,,,,,
"landa3h","""3011""",30004,3011,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","异兔·火"
"landa3h","""3072""",30004,3072,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","人马战士·风"
"landa3h","""3073""",30004,3073,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","人马战士·水"
"# 兰达平原·4·地狱",,,,,,
"landa4h","""3012""",30004,3012,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","异兔·风"
"landa4h","""3052""",30004,3052,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","暴力战熊·风"
"landa4h","""3051""",30004,3051,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","暴力战熊·火"
"# 兰达平原·5·地狱",,,,,,
"landa5h","""3071""",30004,3071,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","人马战士·火"
"landa5h","""3072""",30004,3072,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","人马战士·风"
"landa5h","""3071""",30004,3071,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","人马战士·火"
"# 兰达平原·6·地狱",,,,,,
"landa6h","""3051""",30004,3051,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","暴力战熊·火"
"landa6h","""3051""",30004,3051,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","暴力战熊·火"
"landa6h","""3052""",30004,3052,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","暴力战熊·风"
"# 兰达平原·7·地狱",,,,,,
"landa7h","""3071""",30004,3071,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","人马战士·火"
"landa7h","""3072""",30004,3072,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","人马战士·风"
"landa7h","""3053""",30004,3053,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","暴力战熊·水"
"landa7h","""3052""",30004,3052,30005,"([""rank"":2,""star"":6,""level"":40,""is_boss"":@TRUE])","暴力战熊·风"
"# 塔巴伦森林·1·普通",,,,,,
"tabalun1e","""3023""",30004,3023,30005,"([""rank"":0,""star"":1,""level"":4,""is_boss"":@FALSE])","深渊触手·水"
"tabalun1e","""3023""",30004,3023,30005,"([""rank"":0,""star"":1,""level"":4,""is_boss"":@FALSE])","深渊触手·水"
"tabalun1e","""1023""",30004,1023,30005,"([""rank"":2,""star"":3,""level"":4,""is_boss"":@FALSE])","草精·水"
"# 塔巴伦森林·2·普通",,,,,,
"tabalun2e","""3022""",30004,3022,30005,"([""rank"":0,""star"":1,""level"":4,""is_boss"":@FALSE])","深渊触手·风"
"tabalun2e","""1022""",30004,1022,30005,"([""rank"":1,""star"":1,""level"":4,""is_boss"":@FALSE])","草精·风"
"tabalun2e","""4022""",30004,4022,30005,"([""rank"":2,""star"":3,""level"":4,""is_boss"":@FALSE])","赏金猎人·风"
"# 塔巴伦森林·3·普通",,,,,,
"tabalun3e","""1021""",30004,1021,30005,"([""rank"":1,""star"":1,""level"":5,""is_boss"":@FALSE])","草精·火"
"tabalun3e","""1022""",30004,1022,30005,"([""rank"":1,""star"":1,""level"":5,""is_boss"":@FALSE])","草精·风"
"tabalun3e","""4021""",30004,4021,30005,"([""rank"":2,""star"":3,""level"":5,""is_boss"":@FALSE])","赏金猎人·火"
"# 塔巴伦森林·4·普通",,,,,,
"tabalun4e","""4023""",30004,4023,30005,"([""rank"":1,""star"":2,""level"":5,""is_boss"":@FALSE])","赏金猎人·水"
"tabalun4e","""4023""",30004,4023,30005,"([""rank"":1,""star"":2,""level"":5,""is_boss"":@FALSE])","赏金猎人·水"
"tabalun4e","""3023""",30004,3023,30005,"([""rank"":0,""star"":3,""level"":5,""is_boss"":@FALSE])","深渊触手·水"
"# 塔巴伦森林·5·普通",,,,,,
"tabalun5e","""3022""",30004,3022,30005,"([""rank"":0,""star"":2,""level"":6,""is_boss"":@FALSE])","深渊触手·风"
"tabalun5e","""1022""",30004,1022,30005,"([""rank"":1,""star"":2,""level"":6,""is_boss"":@FALSE])","草精·风"
"tabalun5e","""2041""",30004,2041,30005,"([""rank"":2,""star"":3,""level"":6,""is_boss"":@FALSE])","幽灵·火"
"# 塔巴伦森林·6·普通",,,,,,
"tabalun6e","""4022""",30004,4022,30005,"([""rank"":1,""star"":2,""level"":7,""is_boss"":@FALSE])","赏金猎人·风"
"tabalun6e","""4022""",30004,4022,30005,"([""rank"":1,""star"":2,""level"":7,""is_boss"":@FALSE])","赏金猎人·风"
"tabalun6e","""2042""",30004,2042,30005,"([""rank"":2,""star"":3,""level"":7,""is_boss"":@FALSE])","幽灵·风"
"# 塔巴伦森林·7·普通",,,,,,
"tabalun7e","""2042""",30004,2042,30005,"([""rank"":1,""star"":2,""level"":8,""is_boss"":@FALSE])","幽灵·风"
"tabalun7e","""4022""",30004,4022,30005,"([""rank"":1,""star"":2,""level"":8,""is_boss"":@FALSE])","赏金猎人·风"
"tabalun7e","""2043""",30004,2043,30005,"([""rank"":1,""star"":2,""level"":8,""is_boss"":@FALSE])","幽灵·水"
"tabalun7e","""2043""",30004,2043,30005,"([""rank"":2,""star"":3,""level"":8,""is_boss"":@TRUE])","幽灵·水"
"# 塔巴伦森林·1·困难",,,,,,
"tabalun1n","""1021""",30004,1021,30005,"([""rank"":0,""star"":2,""level"":19,""is_boss"":@FALSE])","草精·火"
"tabalun1n","""1021""",30004,1021,30005,"([""rank"":0,""star"":2,""level"":19,""is_boss"":@FALSE])","草精·火"
"tabalun1n","""1021""",30004,1021,30005,"([""rank"":2,""star"":4,""level"":19,""is_boss"":@FALSE])","草精·火"
"# 塔巴伦森林·2·困难",,,,,,
"tabalun2n","""1022""",30004,1022,30005,"([""rank"":0,""star"":2,""level"":19,""is_boss"":@FALSE])","草精·风"
"tabalun2n","""1022""",30004,1022,30005,"([""rank"":1,""star"":2,""level"":19,""is_boss"":@FALSE])","草精·风"
"tabalun2n","""2042""",30004,2042,30005,"([""rank"":2,""star"":4,""level"":19,""is_boss"":@FALSE])","幽灵·风"
"# 塔巴伦森林·3·困难",,,,,,
"tabalun3n","""4021""",30004,4021,30005,"([""rank"":1,""star"":2,""level"":19,""is_boss"":@FALSE])","赏金猎人·火"
"tabalun3n","""4022""",30004,4022,30005,"([""rank"":1,""star"":2,""level"":19,""is_boss"":@FALSE])","赏金猎人·风"
"tabalun3n","""4022""",30004,4022,30005,"([""rank"":2,""star"":4,""level"":19,""is_boss"":@FALSE])","赏金猎人·风"
"# 塔巴伦森林·4·困难",,,,,,
"tabalun4n","""2043""",30004,2043,30005,"([""rank"":1,""star"":3,""level"":19,""is_boss"":@FALSE])","幽灵·水"
"tabalun4n","""1023""",30004,1023,30005,"([""rank"":1,""star"":3,""level"":19,""is_boss"":@FALSE])","草精·水"
"tabalun4n","""1021""",30004,1021,30005,"([""rank"":0,""star"":4,""level"":19,""is_boss"":@FALSE])","草精·火"
"# 塔巴伦森林·5·困难",,,,,,
"tabalun5n","""2041""",30004,2041,30005,"([""rank"":0,""star"":3,""level"":20,""is_boss"":@FALSE])","幽灵·火"
"tabalun5n","""1022""",30004,1022,30005,"([""rank"":1,""star"":3,""level"":20,""is_boss"":@FALSE])","草精·风"
"tabalun5n","""1022""",30004,1022,30005,"([""rank"":2,""star"":4,""level"":20,""is_boss"":@FALSE])","草精·风"
"# 塔巴伦森林·6·困难",,,,,,
"tabalun6n","""1023""",30004,1023,30005,"([""rank"":1,""star"":3,""level"":20,""is_boss"":@FALSE])","草精·水"
"tabalun6n","""1023""",30004,1023,30005,"([""rank"":1,""star"":3,""level"":20,""is_boss"":@FALSE])","草精·水"
"tabalun6n","""1023""",30004,1023,30005,"([""rank"":2,""star"":4,""level"":20,""is_boss"":@FALSE])","草精·水"
"# 塔巴伦森林·7·困难",,,,,,
"tabalun7n","""2042""",30004,2042,30005,"([""rank"":1,""star"":3,""level"":21,""is_boss"":@FALSE])","幽灵·风"
"tabalun7n","""4022""",30004,4022,30005,"([""rank"":1,""star"":3,""level"":21,""is_boss"":@FALSE])","赏金猎人·风"
"tabalun7n","""1023""",30004,1023,30005,"([""rank"":1,""star"":3,""level"":21,""is_boss"":@FALSE])","草精·水"
"tabalun7n","""1083""",30004,1083,30005,"([""rank"":2,""star"":4,""level"":21,""is_boss"":@TRUE])","恶之花·水"
"# 塔巴伦森林·1·地狱",,,,,,
"tabalun1h","""1021""",30004,1021,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","草精·火"
"tabalun1h","""1021""",30004,1021,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","草精·火"
"tabalun1h","""1081""",30004,1081,30005,"([""rank"":2,""star"":5,""level"":40,""is_boss"":@FALSE])","恶之花·火"
"# 塔巴伦森林·2·地狱",,,,,,
"tabalun2h","""1022""",30004,1022,30005,"([""rank"":0,""star"":3,""level"":40,""is_boss"":@FALSE])","草精·风"
"tabalun2h","""1082""",30004,1082,30005,"([""rank"":1,""star"":3,""level"":40,""is_boss"":@FALSE])","恶之花·风"
"tabalun2h","""2042""",30004,2042,30005,"([""rank"":2,""star"":5,""level"":40,""is_boss"":@FALSE])","幽灵·风"
"# 塔巴伦森林·3·地狱",,,,,,
"tabalun3h","""1081""",30004,1081,30005,"([""rank"":1,""star"":3,""level"":40,""is_boss"":@FALSE])","恶之花·火"
"tabalun3h","""4022""",30004,4022,30005,"([""rank"":1,""star"":3,""level"":40,""is_boss"":@FALSE])","赏金猎人·风"
"tabalun3h","""4022""",30004,4022,30005,"([""rank"":2,""star"":5,""level"":40,""is_boss"":@FALSE])","赏金猎人·风"
"# 塔巴伦森林·4·地狱",,,,,,
"tabalun4h","""2043""",30004,2043,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","幽灵·水"
"tabalun4h","""1023""",30004,1023,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","草精·水"
"tabalun4h","""1081""",30004,1081,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","恶之花·火"
"# 塔巴伦森林·5·地狱",,,,,,
"tabalun5h","""2041""",30004,2041,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","幽灵·火"
"tabalun5h","""1022""",30004,1022,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","草精·风"
"tabalun5h","""1082""",30004,1082,30005,"([""rank"":2,""star"":5,""level"":40,""is_boss"":@FALSE])","恶之花·风"
"# 塔巴伦森林·6·地狱",,,,,,
"tabalun6h","""1083""",30004,1083,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","恶之花·水"
"tabalun6h","""1083""",30004,1083,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","恶之花·水"
"tabalun6h","""1083""",30004,1083,30005,"([""rank"":2,""star"":5,""level"":40,""is_boss"":@FALSE])","恶之花·水"
"# 塔巴伦森林·7·地狱",,,,,,
"tabalun7h","""1082""",30004,1082,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","恶之花·风"
"tabalun7h","""1081""",30004,1081,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","恶之花·火"
"tabalun7h","""1083""",30004,1083,30005,"([""rank"":1,""star"":4,""level"":40,""is_boss"":@FALSE])","恶之花·水"
"tabalun7h","""1083""",30004,1083,30005,"([""rank"":2,""star"":6,""level"":40,""is_boss"":@TRUE])","恶之花·水"
"# 斯姆塔斯沙漠·1·普通",,,,,,
"simuta1e","""2012""",30004,2012,30005,"([""rank"":0,""star"":2,""level"":8,""is_boss"":@FALSE])","小鬼·风"
"simuta1e","""3031""",30004,3031,30005,"([""rank"":0,""star"":2,""level"":8,""is_boss"":@FALSE])","牙突大猪·火"
"simuta1e","""2012""",30004,2012,30005,"([""rank"":0,""star"":3,""level"":8,""is_boss"":@FALSE])","小鬼·风"
"# 斯姆塔斯沙漠·2·普通",,,,,,
"simuta2e","""3031""",30004,3031,30005,"([""rank"":0,""star"":2,""level"":9,""is_boss"":@FALSE])","牙突大猪·火"
"simuta2e","""3021""",30004,3021,30005,"([""rank"":0,""star"":2,""level"":9,""is_boss"":@FALSE])","深渊触手·火"
"simuta2e","""3021""",30004,3021,30005,"([""rank"":0,""star"":3,""level"":9,""is_boss"":@FALSE])","深渊触手·火"
"# 斯姆塔斯沙漠·3·普通",,,,,,
"simuta3e","""2012""",30004,2012,30005,"([""rank"":0,""star"":2,""level"":10,""is_boss"":@FALSE])","小鬼·风"
"simuta3e","""2012""",30004,2012,30005,"([""rank"":0,""star"":2,""level"":10,""is_boss"":@FALSE])","小鬼·风"
"simuta3e","""2012""",30004,2012,30005,"([""rank"":0,""star"":3,""level"":10,""is_boss"":@FALSE])","小鬼·风"
"# 斯姆塔斯沙漠·4·普通",,,,,,
"simuta4e","""2012""",30004,2012,30005,"([""rank"":0,""star"":2,""level"":11,""is_boss"":@FALSE])","小鬼·风"
"simuta4e","""3022""",30004,3022,30005,"([""rank"":0,""star"":2,""level"":11,""is_boss"":@FALSE])","深渊触手·风"
"simuta4e","""3031""",30004,3031,30005,"([""rank"":0,""star"":3,""level"":11,""is_boss"":@FALSE])","牙突大猪·火"
"# 斯姆塔斯沙漠·5·普通",,,,,,
"simuta5e","""3031""",30004,3031,30005,"([""rank"":0,""star"":2,""level"":12,""is_boss"":@FALSE])","牙突大猪·火"
"simuta5e","""3031""",30004,3031,30005,"([""rank"":0,""star"":2,""level"":12,""is_boss"":@FALSE])","牙突大猪·火"
"simuta5e","""3032""",30004,3032,30005,"([""rank"":0,""star"":3,""level"":12,""is_boss"":@FALSE])","牙突大猪·风"
"# 斯姆塔斯沙漠·6·普通",,,,,,
"simuta6e","""2011""",30004,2011,30005,"([""rank"":0,""star"":2,""level"":12,""is_boss"":@FALSE])","小鬼·火"
"simuta6e","""2011""",30004,2011,30005,"([""rank"":0,""star"":2,""level"":12,""is_boss"":@FALSE])","小鬼·火"
"simuta6e","""3023""",30004,3023,30005,"([""rank"":0,""star"":3,""level"":12,""is_boss"":@FALSE])","深渊触手·水"
"# 斯姆塔斯沙漠·7·普通",,,,,,
"simuta7e","""2011""",30004,2011,30005,"([""rank"":0,""star"":2,""level"":13,""is_boss"":@FALSE])","小鬼·火"
"simuta7e","""3022""",30004,3022,30005,"([""rank"":0,""star"":2,""level"":13,""is_boss"":@FALSE])","深渊触手·风"
"simuta7e","""2011""",30004,2011,30005,"([""rank"":0,""star"":2,""level"":13,""is_boss"":@FALSE])","小鬼·火"
"simuta7e","""4061""",30004,4061,30005,"([""rank"":2,""star"":4,""level"":13,""is_boss"":@TRUE])","枢机主教·火"
"# 斯姆塔斯沙漠·1·困难",,,,,,
"simuta1n","""2041""",30004,2041,30005,"([""rank"":0,""star"":3,""level"":21,""is_boss"":@FALSE])","幽灵·火"
"simuta1n","""2041""",30004,2041,30005,"([""rank"":0,""star"":3,""level"":21,""is_boss"":@FALSE])","幽灵·火"
"simuta1n","""2041""",30004,2041,30005,"([""rank"":0,""star"":4,""level"":21,""is_boss"":@FALSE])","幽灵·火"
"# 斯姆塔斯沙漠·2·困难",,,,,,
"simuta2n","""2031""",30004,2031,30005,"([""rank"":0,""star"":3,""level"":22,""is_boss"":@FALSE])","骷髅射手·火"
"simuta2n","""2032""",30004,2032,30005,"([""rank"":0,""star"":3,""level"":22,""is_boss"":@FALSE])","骷髅射手·风"
"simuta2n","""2032""",30004,2032,30005,"([""rank"":0,""star"":4,""level"":22,""is_boss"":@FALSE])","骷髅射手·风"
"# 斯姆塔斯沙漠·3·困难",,,,,,
"simuta3n","""2041""",30004,2041,30005,"([""rank"":0,""star"":3,""level"":22,""is_boss"":@FALSE])","幽灵·火"
"simuta3n","""2032""",30004,2032,30005,"([""rank"":0,""star"":3,""level"":22,""is_boss"":@FALSE])","骷髅射手·风"
"simuta3n","""1072""",30004,1072,30005,"([""rank"":0,""star"":4,""level"":22,""is_boss"":@FALSE])","针千本·风"
"# 斯姆塔斯沙漠·4·困难",,,,,,
"simuta4n","""2041""",30004,2041,30005,"([""rank"":0,""star"":3,""level"":23,""is_boss"":@FALSE])","幽灵·火"
"simuta4n","""2041""",30004,2041,30005,"([""rank"":0,""star"":3,""level"":23,""is_boss"":@FALSE])","幽灵·火"
"simuta4n","""1071""",30004,1071,30005,"([""rank"":0,""star"":4,""level"":23,""is_boss"":@FALSE])","针千本·火"
"# 斯姆塔斯沙漠·5·困难",,,,,,
"simuta5n","""1071""",30004,1071,30005,"([""rank"":0,""star"":3,""level"":23,""is_boss"":@FALSE])","针千本·火"
"simuta5n","""1072""",30004,1072,30005,"([""rank"":0,""star"":3,""level"":23,""is_boss"":@FALSE])","针千本·风"
"simuta5n","""1071""",30004,1071,30005,"([""rank"":0,""star"":4,""level"":23,""is_boss"":@FALSE])","针千本·火"
"# 斯姆塔斯沙漠·6·困难",,,,,,
"simuta6n","""2032""",30004,2032,30005,"([""rank"":0,""star"":3,""level"":24,""is_boss"":@FALSE])","骷髅射手·风"
"simuta6n","""1071""",30004,1071,30005,"([""rank"":0,""star"":3,""level"":24,""is_boss"":@FALSE])","针千本·火"
"simuta6n","""2031""",30004,2031,30005,"([""rank"":0,""star"":4,""level"":24,""is_boss"":@FALSE])","骷髅射手·火"
"# 斯姆塔斯沙漠·7·困难",,,,,,
"simuta7n","""1071""",30004,1071,30005,"([""rank"":0,""star"":3,""level"":24,""is_boss"":@FALSE])","针千本·火"
"simuta7n","""1072""",30004,1072,30005,"([""rank"":0,""star"":3,""level"":24,""is_boss"":@FALSE])","针千本·风"
"simuta7n","""3042""",30004,3042,30005,"([""rank"":0,""star"":3,""level"":24,""is_boss"":@FALSE])","战斗喵·风"
"simuta7n","""4061""",30004,4061,30005,"([""rank"":2,""star"":5,""level"":24,""is_boss"":@TRUE])","枢机主教·火"
"# 斯姆塔斯沙漠·1·地狱",,,,,,
"simuta1h","""3042""",30004,3042,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","战斗喵·风"
"simuta1h","""3042""",30004,3042,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","战斗喵·风"
"simuta1h","""3042""",30004,3042,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","战斗喵·风"
"# 斯姆塔斯沙漠·2·地狱",,,,,,
"simuta2h","""2032""",30004,2032,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","骷髅射手·风"
"simuta2h","""2031""",30004,2031,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","骷髅射手·火"
"simuta2h","""3041""",30004,3041,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","战斗喵·火"
"# 斯姆塔斯沙漠·3·地狱",,,,,,
"simuta3h","""1071""",30004,1071,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","针千本·火"
"simuta3h","""2032""",30004,2032,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","骷髅射手·风"
"simuta3h","""1072""",30004,1072,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","针千本·风"
"# 斯姆塔斯沙漠·4·地狱",,,,,,
"simuta4h","""3041""",30004,3041,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","战斗喵·火"
"simuta4h","""1071""",30004,1071,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","针千本·火"
"simuta4h","""1071""",30004,1071,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","针千本·火"
"# 斯姆塔斯沙漠·5·地狱",,,,,,
"simuta5h","""1071""",30004,1071,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","针千本·火"
"simuta5h","""1072""",30004,1072,30005,"([""rank"":0,""star"":4,""level"":40,""is_boss"":@FALSE])","针千本·风"
"simuta5h","""1071""",30004,1071,30005,"([""rank"":0,""star"":5,""level"":40,""is_boss"":@FALSE])","针千本·火"
"# 斯姆塔斯沙漠·6·地狱",,,,,,
