"# monster.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# 怪物信息表",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#编号*","备注","名字*","觉醒名字*","图档*","标记位*","星级*","觉醒阶位*","组别*","能合成的怪物*","系统购买价格*","是否是材料宠物*","技能伤害类型*","类型*","种族*","初始等级*","抽取标识","图鉴是否显示*","图鉴奖励参数*","元素*","模型id*","受创点偏移*","箭头偏移*","短描述脚本*","默认初始化初始化*","默认初始化规则*","初始技能*","关联怪物*","AI脚本*","AI脚本参数*","生命系数*","生命觉醒*","攻击系数*","攻击觉醒*","防御系数*","防御觉醒*","默认敏捷*","敏捷觉醒*","默认速度*","默认速度*","显示头像*","基准移动速度*","移动速度缩放*","攻击速度*","施法速度*","经验脚本*","经验参数*","元素经验系数*","觉醒经验系数*","最大星级*","宠物召唤碎片的数量*","光暗召唤石碎片权重","传说召唤石碎片权重","未知召唤石权重","神秘召唤石权重","火之召唤石权重","风之召唤石权重","水之召唤石权重","光暗召唤石权重","传说召唤石权重","历练召唤权重","友情召唤权重","水晶召唤权重","刻印召唤权重","预留","宠物碎片召唤","好友地下城抽取","市场1-2星权重","成长召唤卷权重","史诗召唤卷权重","能否提升技能等级*","分享描述*","觉醒描述*","觉醒描述参数*","觉醒材料*"
"auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto","auto"
1025,"草精·暗","monster_name_1021","monster_name_1021","""1025""",10,2,1,28,,"([""money"":50,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_DARK","M1021_d","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({370,1}),({371,1}),}),2:({({370,1}),({371,1}),({373,1})})])","({})",3001,"([])",-198,0,-231,0,-141,0,98,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,0,0,0,"@FALSE",,4240,"([""new_skill"":373, ])","({ ({@MED_MS,5}), ({@PRI_MS,10}), ({@MED_DS,10}), ({@PRI_DS,15}), })"
1051,"疯木桩·火","monster_name_1051","monster_name_1051","""1051""",377,2,1,65,,"([""money"":25000,])","@FALSE","@SKILL_DEF_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_FIRE","M1051_f","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({1385,1}),({1386,1}),}),2:({({1385,1}),({1386,1}),({1387,1})})])","({})",3001,"([])",-228,0,-341,0,-12,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,"@FALSE",,4240,"([""new_skill"":1387, ])","({ ({@PRI_MS,15}), ({@MED_FS,1}), ({@PRI_FS,15}), })"
1052,"疯木桩·风","monster_name_1051","monster_name_1051","""1052""",378,2,1,65,,"([""money"":25000,])","@FALSE","@SKILL_DEF_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_STORM","M1051_s","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({1388,1}),({1389,1}),}),2:({({1388,1}),({1389,1}),({1390,1})})])","({})",3001,"([])",-240,0,-328,0,-22,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,"@FALSE",,4240,"([""new_skill"":1390, ])","({ ({@PRI_MS,15}), ({@MED_SS,3}), ({@PRI_SS,15}), })"
1053,"疯木桩·水","monster_name_1051","monster_name_1051","""1053""",379,2,1,65,,"([""money"":25000,])","@FALSE","@SKILL_DEF_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_WATER","M1051_w","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({1391,1}),({1392,1}),}),2:({({1391,1}),({1392,1}),({1393,1})})])","({})",3001,"([])",-240,0,-343,0,-7,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,100,100,0,0,"@FALSE",,4240,"([""new_skill"":1393, ])","({ ({@PRI_MS,20}), ({@MED_WS,1}), ({@PRI_WS,15}), })"
1054,"疯木桩·光","monster_name_1051","monster_name_1051","""1054""",380,3,1,65,,"([""money"":50,])","@FALSE","@SKILL_DEF_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_LIGHT","M1051_l","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({1378,1}),({1379,1}),({1380,1}),}),2:({({1378,1}),({1379,1}),({1380,1}),({1381,1}),})])","({})",3001,"([])",-120,0,-236,0,-134,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,100,0,0,0,0,0,0,100,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_RES, ""25%""}), ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_LS,15}), ({@PRI_LS,10}), })"
1055,"疯木桩·暗","monster_name_1051","monster_name_1051","""1055""",381,2,1,65,,"([""money"":50,])","@FALSE","@SKILL_DEF_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_DARK","M1051_d","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({1382,1}),({1383,1}),}),2:({({1382,1}),({1383,1}),({1384,1})})])","({})",3001,"([])",-218,0,-372,0,0,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,100,0,0,0,"@FALSE",,4240,"([""new_skill"":1384, ])","({ ({@MED_MS,5}), ({@PRI_MS,10}), ({@MED_DS,5}), ({@PRI_DS,15}), })"
1031,"笑面花·火","monster_name_1031","monster_name_1031","""1031""",11,2,0,27,,"([""money"":12000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_FIRE","M1031_f","({-0.05,0.4})",,5030,1002,"pet10","([0:({({344,1})})])","({})",3001,"([])",-263,0,-209,0,-138,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,0,"@FALSE",,4240,"([])","({})"
1032,"笑面花·风","monster_name_1031","monster_name_1031","""1032""",12,2,0,27,,"([""money"":12000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_STORM","M1031_s","({-0.05,0.4})",,5030,1002,"pet10","([0:({({345,1})})])","({})",3001,"([])",-249,0,-219,0,-142,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,0,"@FALSE",,4240,"([])","({})"
1033,"笑面花·水","monster_name_1031","monster_name_1031","""1033""",13,2,0,27,,"([""money"":12000,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_WATER","M1031_w","({-0.05,0.4})",,5030,1002,"pet10","([0:({({346,1})})])","({})",3001,"([])",-239,0,-249,0,-122,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,100,0,0,0,0,0,0,100,100,0,100,0,100,0,100,0,0,"@FALSE",,4240,"([])","({})"
1034,"笑面花·光","monster_name_1031","monster_name_1031","""1034""",14,2,0,27,,"([""money"":50,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@FALSE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_LIGHT","M1031_l","({-0.05,0.4})",,5030,1002,"pet10","([0:({({342,1})})])","({})",3001,"([])",-247,0,-235,0,-128,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([])","({})"
1035,"笑面花·暗","monster_name_1031","monster_name_1031","""1035""",15,2,0,27,,"([""money"":50,])","@FALSE","@SKILL_ATK_TYPE","@MONSTER_ATK_TYPE","@RACE_NATURE",1,1,"@FALSE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_DARK","M1031_d","({-0.05,0.4})",,5030,1002,"pet10","([0:({({343,1})})])","({})",3001,"([])",-259,0,-227,0,-124,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,20,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([])","({})"
1041,"流浪南瓜·火","monster_name_1041","monster_name_1041","""1041""",16,3,1,39,,"([""money"":50,])","@FALSE","@SKILL_HP_TYPE","@MONSTER_HP_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_FIRE","M1041_f","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({693,1}),({695,1}),({696,1}),({697,1}),}),2:({({693,1}),({695,1}),({696,1}),({697,1}),({698,1}),})])","({})",3001,"([])",108,0,-455,0,-163,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,0,0,100,100,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_RES, ""25%""}), ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_FS,15}), ({@PRI_FS,10}), })"
1042,"流浪南瓜·风","monster_name_1041","monster_name_1041","""1042""",17,3,1,39,,"([""money"":50,])","@FALSE","@SKILL_HP_TYPE","@MONSTER_HP_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_STORM","M1041_s","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({699,1}),({701,1}),({704,1}),}),2:({({699,1}),({701,1}),({702,1}),({704,1}),})])","({})",3004,"([""skill_id"":703])",128,0,-465,0,-173,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,0,0,100,100,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,"@FALSE",,4240,"([""new_skill"":702, ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_SS,15}), ({@PRI_SS,10}), })"
1043,"流浪南瓜·水","monster_name_1041","monster_name_1041","""1043""",18,3,1,39,,"([""money"":50,])","@FALSE","@SKILL_HP_TYPE","@MONSTER_HP_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_WATER","M1041_w","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({705,1}),({707,1}),({708,1}),({709,1}),}),2:({({705,1}),({707,1}),({708,1}),({709,1}),({710,1}),})])","({})",3001,"([])",112,0,-458,0,-164,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,0,0,100,100,0,0,100,0,0,100,100,100,100,100,100,0,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_RES, ""25%""}), ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_WS,15}), ({@PRI_WS,10}), })"
1044,"流浪南瓜·光","monster_name_1041","monster_name_1041","""1044""",19,3,1,39,,"([""money"":50,])","@FALSE","@SKILL_HP_TYPE","@MONSTER_HP_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_LIGHT","M1041_l","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({682,1}),({684,1}),({685,1}),({686,1}),}),2:({({682,1}),({684,1}),({685,1}),({686,1}),})])","({})",3001,"([])",106,0,-456,0,-160,0,101,15,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,100,0,0,0,0,0,0,100,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_AGI, ""15""}), ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_LS,15}), ({@PRI_LS,10}), })"
1045,"流浪南瓜·暗","monster_name_1041","monster_name_1041","""1045""",20,3,1,39,,"([""money"":50,])","@FALSE","@SKILL_HP_TYPE","@MONSTER_HP_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_DARK","M1041_d","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({687,1}),({688,1}),({689,1}),({690,1}),}),2:({({687,1}),({688,1}),({689,1}),({690,1}),({691,1}),})])","({})",3001,"([])",118,0,-465,0,-163,0,101,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,100,0,0,0,0,0,0,100,0,100,0,0,100,0,100,0,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_RES, ""25%""}), ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_DS,15}), ({@PRI_DS,10}), })"
1071,"针千本·火","monster_name_1071","monster_name_1071","""1071""",21,3,1,34,,"([""money"":50,])","@FALSE","@SKILL_SUP_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_FIRE","M1071_f","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({584,1}),({586,1}),({587,1}),}),2:({({584,1}),({586,1}),({587,1}),({912,1}),})])","({})",3001,"([])",-144,0,-338,0,-8,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,0,0,100,100,100,0,0,0,0,100,100,100,100,100,100,100,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_ACC, ""25%""}),  ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_FS,15}), ({@PRI_FS,10}), })"
1072,"针千本·风","monster_name_1071","monster_name_1071","""1072""",22,3,1,34,4102,"([""money"":50,])","@FALSE","@SKILL_SUP_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_STORM","M1071_s","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({579,1}),({581,1}),({582,1}),}),2:({({579,1}),({581,1}),({582,1}),({913,1}),})])","({})",3001,"([])",-167,0,-335,0,18,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,0,0,100,100,0,100,0,0,0,100,100,100,100,100,100,100,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_RES, ""25%""}),  ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_SS,15}), ({@PRI_SS,10}), })"
1073,"针千本·水","monster_name_1071","monster_name_1071","""1073""",23,3,1,34,,"([""money"":50,])","@FALSE","@SKILL_SUP_TYPE","@MONSTER_DEF_TYPE","@RACE_NATURE",1,1,"@TRUE","([0:([""gold_coin"":5]), 1:([""gold_coin"":5]), 2:([""gold_coin"":5])])","@ELEMENT_WATER","M1071_w","({-0.05,0.4})",,5030,1002,"pet10","([0:({}),1:({({589,1}),({591,1}),({592,1}),}),2:({({589,1}),({591,1}),({592,1}),({914,1}),})])","({})",3001,"([])",-172,0,-320,0,2,0,99,0,0,0,"@FALSE",2,1000,1000,1000,4100,800,0,0,6,30,0,0,100,100,0,0,100,0,0,100,100,100,100,100,100,100,0,0,0,"@FALSE",,4240,"([""new_attrib"":({@ATTRIB_CRT, ""15%""}), ])","({ ({@MED_MS,10}), ({@PRI_MS,5}), ({@MED_WS,15}), ({@PRI_WS,10}), })"
